isogroup1000	sp|Q9P974|IF4E_CANGA
isogroup29568	sp|Q55D90|CDSA_DICDI
isogroup29569	sp|A7MBH5|CC151_BOVIN
isogroup29570	sp|Q8LBZ4|OTU_ARATH
isogroup29572	sp|B2WKF1|CBPYA_PYRTR
isogroup29573	sp|Q8K2H6|APC10_MOUSE
isogroup29574	sp|Q08CG8|RNF44_DANRE
isogroup29576	sp|D3ZDK2|UB2D1_RAT
isogroup29577	sp|Q9HWG9|PHZS_PSEAE
isogroup29578	sp|Q9FHN8|KN14E_ARATH
isogroup29581	sp|P40896|YJV3_YEAST
isogroup29583	sp|Q9BWT6|MND1_HUMAN
isogroup29586	sp|P57681|PCYOX_ARATH
isogroup2959	sp|Q6Y288|B3GLT_HUMAN
isogroup29590	sp|P0DPA0|PAHX_DICDI
isogroup29592	sp|P19515|LIP_RHIMI
isogroup29594	sp|P15345|FLAEY_CAUVC
isogroup29597	sp|Q8BKN6|HS3SA_MOUSE
isogroup29600	sp|C8VK14|HXNY_EMENI
isogroup29601	sp|Q54I71|AARA_DICDI
isogroup29605	sp|Q9M1D8|PP288_ARATH
isogroup29606	sp|Q5XW77|CNBA_COMTE
isogroup29608	sp|Q8BZ25|ANKK1_MOUSE
isogroup29615	sp|Q9S726|RPI3_ARATH
isogroup29617	sp|A5JZQ2|RU1C_PLAVS
isogroup2962	sp|Q6YRK0|RF1_ONYPE
isogroup29621	sp|P38166|SFT2_YEAST
isogroup29622	sp|Q8R0F9|S14L4_MOUSE
isogroup29625	sp|Q9FVU9|CSN5B_ARATH
isogroup29630	sp|O88345|PDK4_ICTTR
isogroup29631	sp|Q4MYY1|RS17_THEPA
isogroup29633	sp|Q5AI15|PABP_CANAL
isogroup29634	sp|Q9M1K2|PI5K4_ARATH
isogroup29641	sp|Q96AY4|TTC28_HUMAN
isogroup29644	sp|Q8LPZ7|CDPK3_ORYSJ
isogroup29646	sp|Q96PY6|NEK1_HUMAN
isogroup29647	sp|Q6ESG1|BASS4_ORYSJ
isogroup29651	sp|D3KCC4|CRNS1_CHICK
isogroup29655	sp|I1K0K6|EFGC2_SOYBN
isogroup29656	sp|Q94EG9|ZIP11_ARATH
isogroup29657	sp|O60029|PET8_ASHGO
isogroup29659	sp|Q7TXM0|PPSA_MYCBO
isogroup2966	sp|Q90XC2|NEK8_DANRE
isogroup29660	sp|Q54D67|Y2454_DICDI
isogroup29664	sp|C6DFR7|RSMB_PECCP
isogroup29666	sp|P16260|GDC_HUMAN
isogroup29667	sp|Q8RWR1|JMJ30_ARATH
isogroup29677	sp|Q5R5Q2|SRRM1_PONAB
isogroup29678	sp|Q8VZE7|RAP_ARATH
isogroup29680	sp|Q9HY63|ARNA_PSEAE
isogroup29682	sp|O43808|PM34_HUMAN
isogroup29683	sp|Q9C9Z8|VATE2_ARATH
isogroup29685	sp|P37709|TRHY_RABIT
isogroup29687	sp|Q5VQL3|PPT3_ORYSJ
isogroup29688	sp|Q8MRQ4|LMBD2_DROME
isogroup29691	sp|Q6P8Y1|CAPSL_MOUSE
isogroup29696	sp|Q5AQL0|PPIH_EMENI
isogroup29700	sp|A4IJ15|CFA97_XENTR
isogroup29701	sp|Q5RCM7|DJC16_PONAB
isogroup29705	sp|Q9NZR2|LRP1B_HUMAN
isogroup29707	sp|P80405|MTHFS_RABIT
isogroup29708	sp|Q9CPW7|ZMAT2_MOUSE
isogroup29709	sp|Q7U3C4|DNAK2_SYNPX
isogroup29716	sp|Q08A71|ANM6_ARATH
isogroup29718	sp|Q71B07|D19L3_MOUSE
isogroup29719	sp|O31563|YFIU_BACSU
isogroup29723	sp|Q9GYI4|JMJD6_CAEEL
isogroup29734	sp|P38631|FKS1_YEAST
isogroup29743	sp|Q5R8I6|TBC23_PONAB
isogroup29749	sp|Q9ZTR1|SPD1_PEA
isogroup29754	sp|Q9Y6R9|CCD61_HUMAN
isogroup29756	sp|Q8L9C4|KCR1_ARATH
isogroup29757	sp|P0C8M8|CCR1_MAIZE
isogroup29758	sp|Q8IDX6|RBP2A_PLAF7
isogroup29760	sp|Q2FUR9|NIXA_STAA8
isogroup29764	sp|Q9UII4|HERC5_HUMAN
isogroup29766	sp|Q7Z442|PK1L2_HUMAN
isogroup29771	sp|Q17FB8|GLT25_AEDAE
isogroup29774	sp|B9U3F2|DISP3_CHICK
isogroup29781	sp|G5E8K5|ANK3_MOUSE
isogroup29783	sp|Q0WSF1|AL221_ARATH
isogroup29787	sp|P17971|KCNAL_DROME
isogroup29788	sp|P28246|BCR_ECOLI
isogroup29789	sp|Q717B4|TDPZ3_MOUSE
isogroup29793	sp|O60449|LY75_HUMAN
isogroup29796	sp|P25792|CYSP_SCHMA
isogroup29798	sp|Q54DP1|TKRA_DICDI
isogroup29800	sp|Q9LEK8|PIN1_DIGLA
isogroup29802	sp|Q505D1|ANR28_MOUSE
isogroup29804	sp|A8KBL5|S38AB_DANRE
isogroup29809	sp|Q95M18|ENPL_BOVIN
isogroup29811	sp|O82756|RBL7_ARATH
isogroup29812	sp|A8NEP3|TRP_COPC7
isogroup29818	sp|Q54DK4|AK1_DICDI
isogroup29820	sp|Q96RW7|HMCN1_HUMAN
isogroup29822	sp|O74431|ATC9_SCHPO
isogroup29834	sp|Q53P85|CDPKO_ORYSJ
isogroup29835	sp|Q5DU56|NLRC3_MOUSE
isogroup29838	sp|Q5UPT6|YL245_MIMIV
isogroup29839	sp|Q9SLX0|IMA1B_ORYSJ
isogroup2984	sp|O85304|PEPD_SALDU
isogroup29842	sp|Q9JI55|PLEC_CRIGR
isogroup29844	sp|A0LQM1|RLMN_SYNFM
isogroup29845	sp|Q8BPN8|DMXL2_MOUSE
isogroup29848	sp|Q9SLG9|PI5K5_ARATH
isogroup29850	sp|Q5UPD4|YL060_MIMIV
isogroup29853	sp|Q03145|EPHA2_MOUSE
isogroup29855	sp|Q4UDE7|RL5_THEAN
isogroup29856	sp|Q9VVW5|DUSK3_DROME
isogroup29857	sp|P73387|YC60L_SYNY3
isogroup2986	sp|Q9SIC9|PP178_ARATH
isogroup29863	sp|G0SA56|MLP1_CHATD
isogroup29864	sp|H2QL32|PDE9A_PANTR
isogroup29867	sp|Q09788|ASL1_SCHPO
isogroup29868	sp|Q8IIG7|YPF05_PLAF7
isogroup29869	sp|Q9EPI9|KCNH5_RAT
isogroup29874	sp|Q78P75|DYL2_RAT
isogroup29876	sp|Q86WI3|NLRC5_HUMAN
isogroup29877	sp|O74976|FAT2_SCHPO
isogroup29882	sp|Q8LFT2|DRP3B_ARATH
isogroup29885	sp|Q12798|CETN1_HUMAN
isogroup29886	sp|Q8IWX8|CHERP_HUMAN
isogroup29887	sp|C5DAE0|MQO_GEOSW
isogroup29893	sp|P40525|RL34B_YEAST
isogroup29894	sp|Q17FB8|GLT25_AEDAE
isogroup29898	sp|Q8LGG0|FKB12_ARATH
isogroup2990	sp|P00787|CATB_RAT
isogroup29900	sp|Q02499|KPYK_GEOSE
isogroup29901	sp|Q8N6F8|MET27_HUMAN
isogroup29909	sp|Q9XIA9|LACS2_ARATH
isogroup29911	sp|Q80Y98|DDHD2_MOUSE
isogroup29914	sp|Q6US81|ACO11_SPOLI
isogroup29915	sp|O34499|6PGL_BACSU
isogroup29922	sp|P53355|DAPK1_HUMAN
isogroup29923	sp|P33328|SNC2_YEAST
isogroup29925	sp|P0A8Y7|YIDA_SHIFL
isogroup29927	sp|Q9LDI3|CIPKO_ARATH
isogroup29929	sp|Q9ULJ7|ANR50_HUMAN
isogroup29934	sp|B4KSY3|KTU_DROMO
isogroup29937	sp|Q55774|Y182_SYNY3
isogroup29938	sp|Q641A1|GLD2A_XENLA
isogroup29941	sp|Q3USY0|S38AB_MOUSE
isogroup29943	sp|P39922|MYS3_HYDVU
isogroup29944	sp|A0A0H3HIJ5|BPAC_BURP2
isogroup29945	sp|O43304|S14L5_HUMAN
isogroup29947	sp|O13848|I3ACR_SCHPO
isogroup29948	sp|Q1LZ96|ATPF2_BOVIN
isogroup2995	sp|Q94AW8|DNAJ3_ARATH
isogroup29951	sp|Q7RTR2|NLRC3_HUMAN
isogroup29953	sp|Q8TVA6|Y1486_METKA
isogroup2996	sp|Q5ZKD7|MOV10_CHICK
isogroup29962	sp|Q9JHB4|WDR31_MOUSE
isogroup29964	sp|Q9V3G1|RL8_DROME
isogroup29966	sp|P0A9T5|TAS_SHIFL
isogroup29967	sp|Q54ED4|GRWD1_DICDI
isogroup29972	sp|Q8L7A0|TAUE3_ARATH
isogroup29973	sp|Q501V0|KPSH1_DANRE
isogroup29975	sp|Q2MV58|TECT1_HUMAN
isogroup29976	sp|Q502M8|ERI2_DANRE
isogroup2998	sp|O32036|YRRM_BACSU
isogroup29980	sp|P0CT61|RL23B_SCHPO
isogroup29983	sp|O94680|PDAT_SCHPO
isogroup29986	sp|Q9JMH9|MY18A_MOUSE
isogroup29987	sp|Q5R5L3|DJC10_PONAB
isogroup29998	sp|Q1J132|PYRD_DEIGD
isogroup30001	sp|Q1E4N0|YME2_COCIM
isogroup30006	sp|Q6ZI17|OML2_ORYSJ
isogroup30007	sp|Q9SJJ5|CKS2_ARATH
isogroup30008	sp|S0EGU4|BEA3_GIBF5
isogroup3001	sp|Q24SP9|GBT_DESHY
isogroup30011	sp|Q9JI55|PLEC_CRIGR
isogroup30012	sp|P50607|TUB_HUMAN
isogroup30013	sp|Q941R4|GONS1_ARATH
isogroup30014	sp|Q02245|TBA5_MAIZE
isogroup30016	sp|Q9I4V0|NQRED_PSEAE
isogroup30017	sp|A2BDR7|CF157_DANRE
isogroup3002	sp|P42766|RL35_HUMAN
isogroup30022	sp|P26651|TTP_HUMAN
isogroup30023	sp|Q6CQB5|ERFB_KLULA
isogroup30024	sp|Q7T330|SPOP_DANRE
isogroup30026	sp|Q8CG09|MRP1_RAT
isogroup30027	sp|Q5E9U1|P2RX4_BOVIN
isogroup30030	sp|Q6E213|AWAT2_HUMAN
isogroup30036	sp|F4HYJ7|DEXH3_ARATH
isogroup30037	sp|Q9FL07|ATL46_ARATH
isogroup30038	sp|Q8H0Z4|GT121_ARATH
isogroup30045	sp|P0CM58|MCA1_CRYNJ
isogroup30050	sp|Q15034|HERC3_HUMAN
isogroup30051	sp|Q5RIA9|CBWD5_HUMAN
isogroup30053	sp|P35579|MYH9_HUMAN
isogroup30055	sp|A1S1Z8|TRMA_SHEAM
isogroup30056	sp|Q7Z7H5|TMED4_HUMAN
isogroup30069	sp|Q9SQZ9|PITH1_ARATH
isogroup30071	sp|Q6DBN1|Y4845_ARATH
isogroup30075	sp|Q8CHS4|PLCX1_MOUSE
isogroup30076	sp|O42925|YBD1_SCHPO
isogroup30079	sp|Q3ZBZ8|STIP1_BOVIN
isogroup30081	sp|P17431|TISB_RAT
isogroup30082	sp|Q8Q0U0|Y045_METMA
isogroup30085	sp|Q54KA7|SECG_DICDI
isogroup30089	sp|P83373|MDHM_FRAAN
isogroup30090	sp|Q05360|WHITE_LUCCU
isogroup30094	sp|Q7Z494|NPHP3_HUMAN
isogroup30097	sp|Q5DU56|NLRC3_MOUSE
isogroup301	sp|Q924Y0|BODG_MOUSE
isogroup30103	sp|P51592|HYD_DROME
isogroup30104	sp|Q9NYU1|UGGG2_HUMAN
isogroup30107	sp|Q9BV73|CP250_HUMAN
isogroup30113	sp|Q400C8|AMZ2_MOUSE
isogroup30114	sp|P04280|PRP1_HUMAN
isogroup30116	sp|Q6DIQ3|PP1R7_XENTR
isogroup30121	sp|Q3IQZ9|KATG_NATPD
isogroup30124	sp|Q5YS78|Y4114_NOCFA
isogroup30125	sp|Q5UPG5|YL093_MIMIV
isogroup30126	sp|O65902|ACAP1_ARATH
isogroup30127	sp|Q8VZS0|PNC2_ARATH
isogroup30128	sp|P21369|PNCA_ECOLI
isogroup30131	sp|O64527|Y1926_ARATH
isogroup30139	sp|Q552L9|S2540_DICDI
isogroup30140	sp|Q2RJW1|MTAD_MOOTA
isogroup30141	sp|Q9LXC9|IPYR6_ARATH
isogroup30143	sp|Q9XGL4|RL31_CYAPA
isogroup30146	sp|P15387|KCNB1_RAT
isogroup30149	sp|Q0IGK1|MBD4L_ARATH
isogroup30156	sp|Q7SXS7|SETD3_DANRE
isogroup30157	sp|Q54KA7|SECG_DICDI
isogroup30158	sp|Q4KLI2|TM10A_RAT
isogroup30161	sp|Q40301|FCPE_MACPY
isogroup30162	sp|P49210|RL9_ORYSJ
isogroup30163	sp|P49076|ARF_MAIZE
isogroup30164	sp|O09032|ELAV4_RAT
isogroup30165	sp|Q32LS6|ABHDD_DANRE
isogroup30166	sp|P58374|RL30_BRABE
isogroup30167	sp|P02402|RLA1_ARTSA
isogroup30172	sp|O64943|POLC2_JUNOX
isogroup30177	sp|P49577|ALF2_PLABA
isogroup30182	sp|Q4KM47|CDK10_RAT
isogroup30184	sp|Q6ETK3|P2C11_ORYSJ
isogroup30185	sp|P55567|Y4MH_SINFN
isogroup30186	sp|Q7S2Z9|TPIS_NEUCR
isogroup30189	sp|P50648|RIR1_PLAF4
isogroup30190	sp|Q852Q1|OSK4_ORYSJ
isogroup30192	sp|Q08587|FCPD_PHATR
isogroup30193	sp|Q8N0N9|ODH_HALDH
isogroup30194	sp|O65729|RL18_CICAR
isogroup30195	sp|Q03685|BIP5_TOBAC
isogroup30203	sp|Q4LDE5|SVEP1_HUMAN
isogroup30208	sp|Q6NMM8|F8H_ARATH
isogroup30209	sp|Q949X0|ADS3_ARATH
isogroup30213	sp|O43497|CAC1G_HUMAN
isogroup30217	sp|Q6NYL3|ECHP_DANRE
isogroup30222	sp|Q5N870|DCL3A_ORYSJ
isogroup30223	sp|Q5NA18|MTP5_ORYSJ
isogroup30226	sp|B2DFG5|DTHAD_DELSH
isogroup3023	sp|P53090|ARO8_YEAST
isogroup30230	sp|P0DJB1|PRMC_CORGL
isogroup30232	sp|Q9ZQI0|EPR1_ARATH
isogroup30239	sp|Q29S00|OSCP1_BOVIN
isogroup30242	sp|A0T0T7|PETD_THAPS
isogroup30243	sp|Q05549|HRQ1_YEAST
isogroup30244	sp|Q9MAM3|KCS1_ARATH
isogroup30253	sp|Q9NW15|ANO10_HUMAN
isogroup30256	sp|P81127|SNAG_BOVIN
isogroup30262	sp|Q9C514|RS71_ARATH
isogroup30264	sp|Q8WU67|ABHD3_HUMAN
isogroup30266	sp|Q9QR71|LANA1_HHV8P
isogroup30269	sp|P86243|TOMT_PANTR
isogroup30271	sp|J4UHQ8|OPS6_BEAB2
isogroup30273	sp|Q9M8R7|P2C33_ARATH
isogroup30274	sp|O13755|OSM1_SCHPO
isogroup30276	sp|Q8CHP0|ZC3H3_MOUSE
isogroup30277	sp|P34624|CCNY_CAEEL
isogroup30278	sp|Q5ENN5|RBL2_HETTR
isogroup30285	sp|O74561|YCZ8_SCHPO
isogroup30287	sp|Q54I48|CTL2_DICDI
isogroup30288	sp|Q9C912|R35A3_ARATH
isogroup30289	sp|P21568|CYPH_SOLLC
isogroup30290	sp|D4GP30|XDH2_HALVD
isogroup30291	sp|P36863|YPTV4_VOLCA
isogroup30299	sp|Q13698|CAC1S_HUMAN
isogroup30301	sp|O65082|RL15B_PICMA
isogroup30313	sp|Q7ZVT3|SAS6_DANRE
isogroup30316	sp|Q6ZQ11|CHSS1_MOUSE
isogroup30317	sp|Q9SFB8|PI5K6_ARATH
isogroup30318	sp|Q9XV46|MOE3_CAEEL
isogroup30319	sp|Q9FIJ7|KAD2_ARATH
isogroup30324	sp|Q64674|SPEE_MOUSE
isogroup30326	sp|Q6I587|CDPKF_ORYSJ
isogroup30327	sp|Q54WE5|PRP4B_DICDI
isogroup30330	sp|P10587|MYH11_CHICK
isogroup30331	sp|Q6DHL4|SUMO2_DANRE
isogroup30332	sp|P0CG76|UBIQA_DICDI
isogroup30340	sp|Q8H7F6|GRS16_ARATH
isogroup30342	sp|O81629|KLCR1_ARATH
isogroup30344	sp|F4ISV9|APD4_ARATH
isogroup30345	sp|Q9VUT6|GALT8_DROME
isogroup30348	sp|Q9LW57|PAP6_ARATH
isogroup30350	sp|Q09706|PLD1_SCHPO
isogroup30352	sp|P12847|MYH3_RAT
isogroup30357	sp|Q3TZ87|MARH9_MOUSE
isogroup30360	sp|Q8BID8|FXL14_MOUSE
isogroup30361	sp|Q67YE6|SAP12_ARATH
isogroup30366	sp|C9D7C2|CAC1A_APIME
isogroup30371	sp|Q93Y38|GDT13_ARATH
isogroup30374	sp|P41352|TBB_TETTH
isogroup30377	sp|Q8MTI2|BSL1_TRIVA
isogroup30378	sp|Q924K2|FAF1_RAT
isogroup30385	sp|Q39570|YPTC4_CHLRE
isogroup30388	sp|Q45826|Y901_CHLAA
isogroup30393	sp|P9WJX1|Y2456_MYCTU
isogroup30395	sp|D2H417|DNJ5B_AILME
isogroup30402	sp|Q9H4E7|DEFI6_HUMAN
isogroup30408	sp|P08094|RLA2_SCHPO
isogroup30409	sp|Q07G42|RNF12_XENTR
isogroup30413	sp|Q8C4S8|DEN2A_MOUSE
isogroup30415	sp|P60372|KR104_HUMAN
isogroup30417	sp|Q9Y3A4|RRP7A_HUMAN
isogroup30418	sp|Q50KB1|SEP2_EMIHU
isogroup30419	sp|O95372|LYPA2_HUMAN
isogroup30423	sp|Q69PA8|GLO11_ORYSJ
isogroup30424	sp|O42248|GBLP_DANRE
isogroup30427	sp|A1VYV7|ALF_CAMJJ
isogroup30428	sp|A3EWL3|REV1_ARATH
isogroup30429	sp|Q6AXR5|S35A3_RAT
isogroup30437	sp|B5BL83|CLCA_SALPK
isogroup30442	sp|Q8WWF6|DNJB3_HUMAN
isogroup30443	sp|Q28G87|LARP7_XENTR
isogroup30446	sp|O94686|RL43B_SCHPO
isogroup30451	sp|O96269|RS30_PLAF7
isogroup30456	sp|Q54DL6|Y2140_DICDI
isogroup30458	sp|Q9Y580|RBM7_HUMAN
isogroup30461	sp|Q5B0J9|DBP2_EMENI
isogroup30463	sp|P51260|ATPE_PORPU
isogroup30464	sp|Q9XIB6|PLRX2_ARATH
isogroup30467	sp|Q9M4A1|SPO12_ARATH
isogroup30470	sp|O43050|ERG26_SCHPO
isogroup30471	sp|P30771|NAM7_YEAST
isogroup30473	sp|P40893|REE1_YEAST
isogroup30476	sp|Q9CQ46|DRC8_MOUSE
isogroup30483	sp|Q86VQ6|TRXR3_HUMAN
isogroup30489	sp|Q93VV0|ZDHC6_ARATH
isogroup30491	sp|Q83HT1|PSTB_TROW8
isogroup30492	sp|A0A0H2URK1|PSRP_STRPN
isogroup30495	sp|Q9FYE1|MCA9_ARATH
isogroup30505	sp|Q9LZ82|BTR1_ARATH
isogroup30506	sp|A4F4L4|DNAL4_PIG
isogroup30507	sp|Q076A3|MYH13_CANLF
isogroup30508	sp|A4D7T3|ASZ1_MACEU
isogroup30511	sp|Q80XJ3|TTC28_MOUSE
isogroup30514	sp|P25386|USO1_YEAST
isogroup30515	sp|Q46HH0|RL1_PROMT
isogroup30517	sp|Q56X52|AOX4_ARATH
isogroup30518	sp|P52301|RAN_XENLA
isogroup30522	sp|Q642A7|F151A_RAT
isogroup30524	sp|D3KCC4|CRNS1_CHICK
isogroup30526	sp|P53585|ACLY_CAEEL
isogroup30528	sp|Q9SY14|CSCL2_ARATH
isogroup30529	sp|Q8VZF6|EDR2L_ARATH
isogroup30530	sp|Q55GE2|ODC_DICDI
isogroup30531	sp|Q5BLD8|MT21A_DANRE
isogroup30532	sp|Q8QZV1|PDE9A_RAT
isogroup30536	sp|Q27991|MYH10_BOVIN
isogroup30539	sp|Q9UT45|ENG1_SCHPO
isogroup30541	sp|Q3UES3|TNKS2_MOUSE
isogroup30543	sp|P42567|EPS15_MOUSE
isogroup30545	sp|P02564|MYH7_RAT
isogroup30546	sp|Q8GUJ1|UXT2_ARATH
isogroup30547	sp|Q07896|NOC3_YEAST
isogroup30552	sp|O96185|YPF08_PLAF7
isogroup30554	sp|B2K549|CLCA_YERPB
isogroup30557	sp|Q8WTJ4|UBXN6_CAEEL
isogroup30560	sp|Q9VCE1|BECN1_DROME
isogroup30567	sp|Q557D2|G6PD_DICDI
isogroup30568	sp|O80327|TLP1_PYRPY
isogroup3057	sp|Q9M339|RS32_ARATH
isogroup30575	sp|P28734|AATC_DAUCA
isogroup30576	sp|Q9D7H2|WDR5B_MOUSE
isogroup30577	sp|Q05117|PPA5_MOUSE
isogroup3058	sp|Q6NW95|FXL15_DANRE
isogroup30580	sp|Q1ZXI2|CNO11_DICDI
isogroup30582	sp|P76072|STFR_ECOLI
isogroup30583	sp|P22793|TRHY_SHEEP
isogroup30590	sp|P15447|GLB4_GLYDI
isogroup30591	sp|Q9XVS4|NOLC1_CAEEL
isogroup3060	sp|P47451|Y209_MYCGE
isogroup30600	sp|Q9HFJ5|APTH1_NEUCR
isogroup30605	sp|P78955|HUS1_SCHPO
isogroup30606	sp|P22760|AAAD_HUMAN
isogroup30607	sp|P16157|ANK1_HUMAN
isogroup30617	sp|Q91YD6|VILL_MOUSE
isogroup30624	sp|P42740|UBIQP_AGLNE
isogroup30625	sp|O80934|Y2766_ARATH
isogroup30627	sp|Q6ZI17|OML2_ORYSJ
isogroup30632	sp|O07592|YHDW_BACSU
isogroup30633	sp|Q8T2I8|SEPA_DICDI
isogroup30634	sp|O88407|LFG2_RAT
isogroup30635	sp|P77376|YDGJ_ECOLI
isogroup30642	sp|Q87MF1|RNH2_VIBPA
isogroup30644	sp|Q8TC12|RDH11_HUMAN
isogroup30645	sp|Q9SV46|PP282_ARATH
isogroup30646	sp|Q7T6Y2|YR831_MIMIV
isogroup30647	sp|B8QYR5|PROF_PLABE
isogroup30649	sp|Q7RTR2|NLRC3_HUMAN
isogroup30659	sp|Q96FV0|LRC46_HUMAN
isogroup30661	sp|O59797|YCO6_SCHPO
isogroup30673	sp|P62138|PP1A_RAT
isogroup30678	sp|Q9FR62|P23A_BRANA
isogroup30682	sp|A4IIA7|SAMTR_XENTR
isogroup30683	sp|Q6DCT3|RD10A_XENLA
isogroup30684	sp|Q8GWP3|COPT6_ARATH
isogroup30686	sp|P71019|FABD_BACSU
isogroup30688	sp|E9Q9D5|RBL2A_MOUSE
isogroup30691	sp|Q9H6K5|PRR36_HUMAN
isogroup30694	sp|Q8NFD2|ANKK1_HUMAN
isogroup30700	sp|R1ERP2|ALMA4_EMIHU
isogroup30701	sp|P20187|YT37_STRFR
isogroup30707	sp|Q11VZ3|ILVC_CYTH3
isogroup30708	sp|Q2R3K3|LCB2A_ORYSJ
isogroup30712	sp|P34528|YM67_CAEEL
isogroup30714	sp|P34101|FHKC_DICDI
isogroup30715	sp|L7IP31|ERG6_MAGOY
isogroup30723	sp|Q8RXE7|AGD14_ARATH
isogroup30725	sp|Q8WU67|ABHD3_HUMAN
isogroup3073	sp|Q4WKB9|CWC22_ASPFU
isogroup30736	sp|Q52JK6|VIP2_NICBE
isogroup30738	sp|P39524|ATC3_YEAST
isogroup30739	sp|P34308|CAN_CAEEL
isogroup30743	sp|O80695|DTX37_ARATH
isogroup30745	sp|Q9JLG8|CAN15_MOUSE
isogroup30749	sp|O61308|PUMA_PARUN
isogroup30750	sp|P0AFS6|TQSA_SHIFL
isogroup30751	sp|Q43207|FKB70_WHEAT
isogroup30756	sp|O32507|GABD_DEIRA
isogroup30759	sp|O18276|GBRB_CAEEL
isogroup30761	sp|A2AVA0|SVEP1_MOUSE
isogroup30764	sp|A7RG82|CLP1_NEMVE
isogroup30765	sp|Q7XJN0|RH17_ARATH
isogroup30766	sp|B2J3K2|UCRI_NOSP7
isogroup30767	sp|P16157|ANK1_HUMAN
isogroup30771	sp|Q9FIV6|DGP10_ARATH
isogroup30774	sp|Q9DE07|NBN_CHICK
isogroup30780	sp|Q9JLI7|SPAG6_MOUSE
isogroup30784	sp|Q5R5Q2|SRRM1_PONAB
isogroup30785	sp|Q92824|PCSK5_HUMAN
isogroup30786	sp|Q20144|TMTC1_CAEEL
isogroup30791	sp|Q49V09|KPRS_STAS1
isogroup30792	sp|Q5AG46|PGA58_CANAL
isogroup30796	sp|Q9SZL6|MTEF6_ARATH
isogroup30803	sp|Q42686|MDHM_CHLRE
isogroup30804	sp|Q5EAR5|TRPT1_DANRE
isogroup30805	sp|P83564|GPX1_CHLRE
isogroup30806	sp|O06984|YVDB_BACSU
isogroup30807	sp|Q95KG9|MON1A_MACFA
isogroup30808	sp|Q9SXD1|PPR91_ARATH
isogroup30812	sp|P0A9H7|CFA_ECOLI
isogroup30813	sp|O70133|DHX9_MOUSE
isogroup30814	sp|Q7RAV5|CDPK3_PLAYO
isogroup30815	sp|Q86KR9|P4HA_DICDI
isogroup30816	sp|Q8F3Z6|NPD_LEPIN
isogroup30820	sp|Q4PFV5|DPOE_USTMA
isogroup30821	sp|Q8RY60|Y1733_ARATH
isogroup30823	sp|P32598|PP12_YEAST
isogroup30824	sp|P84618|RCAL2_RHEAM
isogroup30829	sp|Q9ZUM9|ASHR2_ARATH
isogroup30830	sp|Q94AW8|DNAJ3_ARATH
isogroup30837	sp|Q64M78|OML4_ORYSJ
isogroup30838	sp|Q9FT97|AGAL1_ARATH
isogroup30839	sp|O54873|AIMP1_CRIGR
isogroup30842	sp|Q54Y32|MPL3_DICDI
isogroup30843	sp|Q9VKV8|CFA20_DROME
isogroup30844	sp|A5CEP5|RNH_ORITB
isogroup30845	sp|Q9SBJ1|PDK_ARATH
isogroup30849	sp|Q9FV50|MAP1D_ARATH
isogroup30850	sp|P42799|GSA1_ARATH
isogroup30855	sp|Q8LBN7|COSA_ARATH
isogroup30857	sp|Q8U446|IXTPA_PYRFU
isogroup30863	sp|Q6IMK3|DJC27_DANRE
isogroup30865	sp|P9WQE5|PPSB_MYCTU
isogroup30873	sp|Q9ZVX1|UBC23_ARATH
isogroup30881	sp|Q7TMW6|CIAO3_MOUSE
isogroup30882	sp|Q1R9H0|RHMA_ECOUT
isogroup30883	sp|A0A0H2URK1|PSRP_STRPN
isogroup30889	sp|Q5R9I1|MTUS1_PONAB
isogroup30890	sp|Q39493|DSK1_CYLFU
isogroup30891	sp|O75643|U520_HUMAN
isogroup30893	sp|Q91VW5|GOGA4_MOUSE
isogroup30894	sp|Q61371|IFT88_MOUSE
isogroup30895	sp|Q9JLQ2|GIT2_MOUSE
isogroup30897	sp|P12036|NFH_HUMAN
isogroup30899	sp|B6RGY0|DEF1A_ORYSJ
isogroup30912	sp|Q22431|ARI2_CAEEL
isogroup30915	sp|Q80T91|MEG11_MOUSE
isogroup30916	sp|P0A5F6|Y1866_MYCBO
isogroup30924	sp|A8XWW4|SHOC2_CAEBR
isogroup30927	sp|Q6L5F4|CML14_ORYSJ
isogroup30928	sp|B9U3F2|DISP3_CHICK
isogroup30931	sp|Q9ALJ4|AGAA_GEOSE
isogroup30937	sp|Q5T7N3|KANK4_HUMAN
isogroup30938	sp|Q58D72|ATLA1_BOVIN
isogroup30939	sp|Q8UBS2|NADD_AGRFC
isogroup30940	sp|Q9SXD1|PPR91_ARATH
isogroup30942	sp|Q9SZ42|FAD4_ARATH
isogroup30946	sp|Q5Z9I2|IMCL1_ORYSJ
isogroup30947	sp|Q54T82|Y1931_DICDI
isogroup30948	sp|Q75JP5|Y2471_DICDI
isogroup30949	sp|Q9LT25|PR40C_ARATH
isogroup30955	sp|Q43298|CH62_MAIZE
isogroup30956	sp|C5DIR2|HEK2_LACTC
isogroup30961	sp|O93428|CATD_CHIHA
isogroup30968	sp|P00175|CYB2_YEAST
isogroup30972	sp|Q12849|GRSF1_HUMAN
isogroup30974	sp|A5GRX8|PETG_SYNR3
isogroup30977	sp|Q8CIM1|LRC45_MOUSE
isogroup30979	sp|Q9VWA1|CLC_DROME
isogroup3098	sp|Q0JJS8|HF101_ORYSJ
isogroup30982	sp|P42125|ECI1_MOUSE
isogroup30986	sp|Q3SYS4|DAAF1_BOVIN
