isogroup1000	Q9P974
isogroup25642	P49472
isogroup25644	Q96T49
isogroup25647	O95180
isogroup25648	P47169
isogroup25649	P05990
isogroup25652	A8MT70
isogroup25655	P23286
isogroup25658	Q9UKX2
isogroup25660	Q90YR8
isogroup25661	F4KE63
isogroup25662	P82888
isogroup25672	Q9D8V0
isogroup25682	P43156
isogroup25684	Q54FG7
isogroup25685	P0CM26
isogroup25686	Q9ATL9
isogroup25689	Q0J0A4
isogroup25691	P59083
isogroup25693	O13842
isogroup25694	Q02753
isogroup25695	Q8CPF7
isogroup25696	Q7ZTK7
isogroup25699	Q9S9K4
isogroup25701	O88799
isogroup25702	Q06852
isogroup25708	O58720
isogroup25712	Q9D845
isogroup25714	Q57772
isogroup25717	Q58741
isogroup25718	Q9JHZ4
isogroup25719	Q8MTI2
isogroup25723	A2I3Y6
isogroup25727	Q9VNV3
isogroup25729	Q9JKA8
isogroup25736	Q09758
isogroup25740	P19246
isogroup25746	C9D7C2
isogroup25749	Q6DJR8
isogroup25750	Q9M3H5
isogroup25760	O14717
isogroup25766	Q6NYL3
isogroup25768	Q00808
isogroup25769	P0C7Q1
isogroup25775	Q8LBL1
isogroup25790	O65621
isogroup25792	Q800A0
isogroup25796	Q8W4I9
isogroup25797	Q55403
isogroup25802	A0QNZ7
isogroup25811	Q7RTR2
isogroup25813	Q96GP6
isogroup25818	O13755
isogroup25823	Q76KC2
isogroup25824	Q9SS17
isogroup25825	P35500
isogroup25831	Q9QXE5
isogroup25839	B3DJT0
isogroup25840	Q8NF37
isogroup25842	Q91XQ0
isogroup25847	A3KMH1
isogroup25849	Q93VV0
isogroup25853	Q86AD7
isogroup25854	Q6ZFZ4
isogroup25858	P53874
isogroup25865	Q7RTR2
isogroup25867	Q91YE5
isogroup25873	O15865
isogroup25875	Q54DU9
isogroup25877	Q9BWQ8
isogroup25879	Q505I4
isogroup25889	Q07283
isogroup2589	P80093
isogroup25893	Q9M9E8
isogroup25898	P46225
isogroup25900	Q9CA67
isogroup25903	O22042
isogroup25904	Q9Z1J2
isogroup25905	Q5T4B2
isogroup25909	Q6L5F5
isogroup25914	Q5FWF4
isogroup25915	A6H8Z2
isogroup25916	Q54P70
isogroup25918	Q9T012
isogroup25919	Q5RET2
isogroup25922	Q9FK51
isogroup25924	A5WFM3
isogroup25925	P49472
isogroup25926	Q3UQI9
isogroup25929	Q9S7J9
isogroup25931	Q8WTX9
isogroup25937	Q09174
isogroup25938	B0BNA9
isogroup25941	P23403
isogroup25949	Q0VGM9
isogroup25950	Q40300
isogroup25959	Q5ZMK5
isogroup25964	P28268
isogroup25966	Q7M3S9
isogroup25970	Q4I8B6
isogroup25972	P91645
isogroup25976	Q15751
isogroup25996	Q28811
isogroup26004	Q9S831
isogroup26005	O83041
isogroup26014	Q39610
isogroup26016	Q6ZI17
isogroup26022	Q460N3
isogroup26023	Q5UQE9
isogroup26029	B0UPJ6
isogroup26031	P34331
isogroup26032	Q968X7
isogroup26038	Q00808
isogroup26043	Q54BF6
isogroup26044	A0A0H2URK1
isogroup26045	Q1RM35
isogroup26046	Q9W4J5
isogroup26047	Q8C7K6
isogroup26049	Q9SZ30
isogroup26051	A5DFT1
isogroup26052	Q653P0
isogroup26054	Q9FID9
isogroup26057	Q9SDG6
isogroup26061	Q9BPL7
isogroup26062	Q6P542
isogroup26066	Q5ZHT1
isogroup26070	Q6AXT5
isogroup26073	Q7D745
isogroup26074	P46822
isogroup26078	O80480
isogroup26080	Q69ZU8
isogroup26087	P49076
isogroup26088	Q60LV4
isogroup26091	A2A259
isogroup26094	Q6IQE9
isogroup26095	Q9VI10
isogroup26097	Q27567
isogroup26098	Q9H1U4
isogroup26099	P00110
isogroup26103	Q9C6D3
isogroup26105	Q62730
isogroup26110	P50648
isogroup26113	Q8GWB7
isogroup26117	P53781
isogroup26118	Q5RF31
isogroup26119	Q9LUT2
isogroup26120	Q96UX3
isogroup26121	Q66HD8
isogroup26131	Q8N7Z2
isogroup26137	Q01890
isogroup26142	Q5R476
isogroup26153	O88457
isogroup26156	P18773
isogroup26162	P45875
isogroup26163	P45699
isogroup26167	Q9M8T9
isogroup26171	Q9LVE4
isogroup26177	Q21221
isogroup26180	C7EXK4
isogroup26184	B5RUP5
isogroup26191	Q12358
isogroup26193	Q7X659
isogroup26194	Q5PP23
isogroup26195	Q9ZQW8
isogroup26200	Q6PIF6
isogroup26203	P0CI65
isogroup26206	Q9CM51
isogroup26209	Q8LBZ4
isogroup26213	Q9U1S7
isogroup26214	P98088
isogroup26220	P40938
isogroup26223	Q75DK1
isogroup26227	Q8VWF5
isogroup26228	Q8H4S6
isogroup26230	O00418
isogroup26238	Q9JLC8
isogroup26239	Q9D6H2
isogroup26243	Q9FV50
isogroup26245	Q32TF8
isogroup26255	Q56X76
isogroup26256	Q9C5D6
isogroup26257	Q8NEC5
isogroup26261	P56336
isogroup26264	Q6L8H4
isogroup26266	O23254
isogroup26268	Q9PTD7
isogroup26273	P59196
isogroup26274	Q8GY23
isogroup26278	P20901
isogroup26280	P54145
isogroup26287	Q6H601
isogroup26297	P28582
isogroup26299	Q32L00
isogroup26301	Q0WPT7
isogroup26304	P16157
isogroup26305	Q96RK4
isogroup26308	Q5XIC8
isogroup26309	F4JIP9
isogroup26311	Q28CU0
isogroup26317	Q8MK48
isogroup26319	Q7RTR2
isogroup26321	Q27991
isogroup26323	Q7RAV5
isogroup26328	P78381
isogroup26329	Q6AYL4
isogroup26334	Q63120
isogroup26338	Q54DY7
isogroup26345	Q23716
isogroup26355	Q54R82
isogroup26357	Q6L5C4
isogroup26358	P36526
isogroup26360	Q54WR9
isogroup26361	O01704
isogroup26365	A7HZ38
isogroup26366	Q54NQ0
isogroup26368	P28745
isogroup26369	Q8YV57
isogroup26370	O24047
isogroup26375	C0ZJ16
isogroup26379	Q9R0M8
isogroup26390	Q54E49
isogroup26393	O65731
isogroup26397	Q66KI6
isogroup26401	P53034
isogroup26404	Q71U00
isogroup26406	P43524
isogroup26419	P57103
isogroup26420	A2AL36
isogroup26421	O08638
isogroup26427	P0C870
isogroup26429	Q8T6B7
isogroup26438	Q61093
isogroup26439	P35580
isogroup26440	Q8DK29
isogroup26444	G4SLH0
isogroup2645	P46942
isogroup26454	P25686
isogroup26455	Q28EW0
isogroup26461	O74545
isogroup26464	Q7Z8U2
isogroup26469	P19123
isogroup26472	Q9D819
isogroup26476	A0QYL8
isogroup26477	P67156
isogroup26482	Q5EAR5
isogroup26487	B3EWZ3
isogroup26489	Q75JP5
isogroup26491	Q29Q26
isogroup26492	Q8K430
isogroup26493	A1D731
isogroup26495	I6YC03
isogroup26499	Q75JF3
isogroup26504	Q86Y13
isogroup26515	P39692
isogroup26516	Q55774
isogroup26517	Q9LJX4
isogroup26518	P25782
isogroup26522	A0A0H2URK1
isogroup26527	Q9LU85
isogroup26529	A3LYI0
isogroup26533	Q8IWG1
isogroup26535	O05218
isogroup26541	A4J474
isogroup26542	Q8Q0U0
isogroup26553	P14002
isogroup26559	Q3E793
isogroup26568	Q99297
isogroup26572	Q9UT32
isogroup26578	Q86K94
isogroup26580	O95714
isogroup26584	Q05016
isogroup26588	A6NN90
isogroup26591	F4JIP9
isogroup26593	Q96372
isogroup26595	P09195
isogroup26598	Q58D06
isogroup26603	Q55DM5
isogroup26606	O75808
isogroup26609	Q9DAK2
isogroup26618	Q6ZUG5
isogroup26623	Q9U2R0
isogroup26625	P07260
isogroup26628	Q940M4
isogroup26629	Q9H0R3
isogroup26633	Q2GAU7
isogroup26638	Q5RB84
isogroup26640	Q9USW1
isogroup26645	O97860
isogroup26651	Q9FKW4
isogroup26659	A7EMM3
isogroup26661	Q6L8H2
isogroup26662	Q9R1X5
isogroup26665	Q52I78
isogroup26666	Q99797
isogroup26667	Q84ND9
isogroup26668	O09174
isogroup26674	Q96AJ9
isogroup26682	P17431
isogroup26688	Q5RD27
isogroup26689	Q8NA82
isogroup26692	P14909
isogroup26693	Q0VAA2
isogroup26694	Q9Y7Z3
isogroup26697	P53152
isogroup26704	P48504
isogroup26705	Q54IP0
isogroup26706	O28852
isogroup26711	Q54I71
isogroup26714	Q9UU99
isogroup26715	Q5SN75
isogroup26718	Q40296
isogroup26719	P0DL09
isogroup26724	A9WRT1
isogroup26727	Q32TF8
isogroup26728	P32598
isogroup26732	Q9GZV3
isogroup26736	P15512
isogroup26737	Q9L9G0
isogroup26740	Q56YN8
isogroup26742	P42693
isogroup26743	Q3ZCC3
isogroup26744	Q1JP61
isogroup26747	Q9VJE5
isogroup26749	A1AK41
isogroup26756	Q9P0N5
isogroup26758	Q64M78
isogroup26760	C6Y4A5
isogroup26765	Q39593
isogroup26766	P44681
isogroup26772	B3SP85
isogroup26773	Q4R6V2
isogroup26778	Q6GJ96
isogroup26779	P25323
isogroup26780	Q9KCZ4
isogroup26782	O78475
isogroup26783	A2ASS6
isogroup26786	Q29RU0
isogroup26787	Q9C912
isogroup26790	Q6H5U3
isogroup26793	P74615
isogroup26797	Q7XA78
isogroup26799	P26591
isogroup26804	Q9BTF0
isogroup26805	O51039
isogroup26809	O13755
isogroup26811	O48649
isogroup26813	Q04832
isogroup26819	Q41745
isogroup26822	Q9C0B0
isogroup26828	Q15149
isogroup2683	P02730
isogroup26832	Q9FJL3
isogroup26833	Q9C5X3
isogroup26834	Q5T3U5
isogroup26840	Q9SVS1
isogroup26842	P80093
isogroup26843	Q50568
isogroup26849	P15390
isogroup26855	Q9JI90
isogroup26862	P14248
isogroup26863	P29994
isogroup26875	Q4P6L3
isogroup26876	P05434
isogroup26879	Q06031
isogroup26881	Q9ZD54
isogroup26882	P04352
isogroup26887	Q8MTI2
isogroup26899	Q8SPR7
isogroup26905	P81069
isogroup26907	Q0CB82
isogroup26912	Q8L636
isogroup26917	Q7RTR2
isogroup26919	P24719
isogroup26923	D3YXG0
isogroup26925	Q5BJI7
isogroup26929	Q1MTN3
isogroup26933	D9IQ16
isogroup26934	P09041
isogroup26937	F4ILY9
isogroup26941	Q9LV03
isogroup26947	Q7ZVK3
isogroup26953	Q32L53
isogroup26954	Q02334
isogroup26961	Q8I615
isogroup26963	Q568L5
isogroup26964	Q253T6
isogroup26965	A6QPE7
isogroup26968	Q9Z247
isogroup26977	P56848
isogroup26980	Q54WR9
isogroup26982	Q91VW5
isogroup26985	O74800
isogroup26987	B5X582
isogroup26989	Q5Z859
isogroup26996	Q2SCF2
isogroup26997	A1A6H3
isogroup27001	Q5XIP9
isogroup27002	L8AXV5
isogroup27004	Q9P2M7
isogroup27007	P50694
isogroup27011	Q3SZL5
isogroup27012	P04069
isogroup27014	B3QP89
isogroup27022	P15533
isogroup27030	Q9Z0Y8
isogroup27032	Q8BTI7
isogroup27033	Q3E6T0
isogroup27034	Q94A52
isogroup27035	Q5XGI0
isogroup27036	Q9BV94
isogroup27038	Q20390
isogroup27041	A2BR65
isogroup27048	Q16KN5
isogroup27051	Q13336
isogroup27054	Q20679
isogroup27063	Q5XIP9
isogroup27064	Q9LI84
isogroup27067	A3LYI0
isogroup2707	Q5LS56
isogroup27070	P29496
isogroup27075	Q5UPT6
isogroup27077	Q4V7T8
isogroup27079	Q45826
isogroup27080	P0DMT5
isogroup27088	Q6FTT0
isogroup27098	A9LNK9
isogroup27100	P45798
isogroup27102	P22793
isogroup27110	P47179
isogroup27115	Q91YR5
isogroup27128	Q1JUP5
isogroup27133	O48920
isogroup27135	P11181
isogroup27144	Q03460
isogroup27145	B1YBD4
isogroup27149	O13024
isogroup27150	P40421
isogroup27153	P72622
isogroup27154	P23231
isogroup27156	Q6P1J0
isogroup2716	Q6NGL9
isogroup27163	Q7NDG8
isogroup27164	A9BF03
isogroup27165	E7F6F9
isogroup27169	P24821
isogroup27170	P53970
isogroup27171	A0A168WVR6
isogroup27172	Q9C206
isogroup27176	Q9U1M9
isogroup27179	Q5QM84
isogroup27181	P55884
isogroup27183	Q9HJ83
isogroup27188	Q54HP1
isogroup27190	Q45826
isogroup27191	A4RM69
isogroup27197	Q11002
isogroup27200	P61207
isogroup27201	Q1RK13
isogroup27202	Q9VBY8
isogroup27203	Q9PL79
isogroup27212	O94264
isogroup27217	P0AEP1
isogroup27218	P25776
isogroup27229	F0NBH8
isogroup27230	Q96HU1
isogroup27233	B1XHY7
isogroup27241	Q9ZBU1
isogroup27246	Q8UVC1
isogroup27255	Q4R6T7
isogroup27257	Q9M571
isogroup27259	Q40296
isogroup27261	Q9JKA8
isogroup27268	P74334
isogroup27273	Q57772
isogroup27276	Q9CPW7
isogroup27282	Q8IUD2
isogroup27284	Q8MPX3
isogroup27285	P26259
isogroup27287	Q54GC1
isogroup27291	Q93Z92
isogroup27295	Q9ET77
isogroup27297	Q9LUL6
isogroup273	Q8YRU9
isogroup27301	A6BM72
isogroup27307	Q5F371
isogroup27308	Q9VVE5
isogroup27315	O34928
isogroup27320	F4I8X6
isogroup27323	Q9ZS34
isogroup27328	P43156
isogroup27330	Q4WBL2
isogroup27331	P08676
isogroup27341	Q5U315
isogroup27349	A1VYV7
isogroup27353	Q6AXU4
isogroup27369	B4TJ42
isogroup2737	P0CM96
isogroup27373	E9Q8T7
isogroup27375	Q00547
isogroup27379	Q6ZHE5
isogroup27381	Q9NJU9
isogroup27382	Q54VI3
isogroup27383	P48504
isogroup2739	Q9C9Z9
isogroup27395	Q8C0X2
isogroup27396	Q5Z9E2
isogroup27397	P36404
isogroup27402	Q58803
isogroup27405	Q14980
isogroup27408	Q4V8U5
isogroup27410	Q2NT85
isogroup27411	G4SLH0
isogroup27414	C1A6R5
isogroup27416	Q9URU6
isogroup27418	Q8C1B2
isogroup2742	Q63430
isogroup27423	P15395
isogroup27424	Q5UP24
isogroup27425	B2RLV1
isogroup27427	Q8VZF6
isogroup27428	Q9V3W0
isogroup27429	Q07352
isogroup27434	O50310
isogroup27437	Q4KLE6
isogroup27438	Q9LTD8
isogroup27451	P51993
isogroup27458	P23538
isogroup27459	A0A0H2URK1
isogroup27469	Q9P0X4
isogroup2747	Q93Y35
isogroup27470	Q86W74
isogroup27472	P18165
isogroup27478	Q9JLY7
isogroup27489	Q5BJJ6
isogroup27492	Q8YTC2
isogroup27503	Q24270
isogroup27504	Q5R478
isogroup27509	Q54HL8
isogroup2751	Q8RB30
isogroup27516	P37272
isogroup27518	Q84V25
isogroup27520	Q13698
isogroup27522	P13686
isogroup27523	Q56X76
isogroup27527	P10587
isogroup27531	Q9FG00
isogroup27533	P54856
isogroup27538	Q9L4Q7
isogroup2754	Q3TA59
isogroup27540	Q9I830
isogroup27543	Q9QX72
isogroup27549	Q9FLQ7
isogroup27552	O34507
isogroup27559	Q9SS40
isogroup2756	Q7SCY7
isogroup27562	Q6AYA1
isogroup27563	F4HWL4
isogroup27564	Q9AJU0
isogroup27569	Q9AVE6
isogroup27580	Q4QRK0
isogroup27584	Q4G0W2
isogroup27585	P0DP15
isogroup27587	F8W2M1
isogroup27603	P54147
isogroup27607	Q9FJX2
isogroup27612	Q51758
isogroup27613	Q9JJY4
isogroup27615	Q8BHK9
isogroup27618	Q5XIJ5
isogroup27619	Q8N9V3
isogroup27621	Q8H113
isogroup27624	P36841
isogroup27628	Q96P56
isogroup27629	O48639
isogroup27635	Q80YE7
isogroup27636	P91645
isogroup27637	Q57837
isogroup27639	Q3ED68
isogroup27642	Q9SLG9
isogroup27647	A8GCT5
isogroup27648	Q99JX3
isogroup27650	P40896
isogroup27651	Q5ZIM5
isogroup27658	Q6DEL1
isogroup27664	Q0J2R1
isogroup27671	Q7Z494
isogroup27672	Q6H601
isogroup27678	Q95JR6
isogroup27686	Q9UTA8
isogroup27688	Q2XWK0
isogroup27691	Q6PBE2
isogroup27694	Q58A42
isogroup27700	O13962
isogroup27703	Q9S9K4
isogroup27706	Q8Q0U0
isogroup27707	P50108
isogroup27708	P36428
isogroup27709	Q8GVZ8
isogroup27710	Q9LVJ0
isogroup27713	Q9M8J9
isogroup27717	Q9SK39
isogroup27724	F4J738
isogroup27725	O65001
isogroup27727	Q9CRB8
isogroup2773	Q9SSJ8
isogroup27730	Q9SR22
isogroup27731	Q9Y2J0
isogroup27732	B1I4R5
isogroup27738	Q74GW7
isogroup27740	Q6R7C4
isogroup27741	Q99323
isogroup27747	P46871
isogroup27757	O31822
isogroup27760	Q28XY0
isogroup27762	Q9FNU2
isogroup27767	Q5BLK4
isogroup27775	Q9D187
isogroup27779	F6S9E6
isogroup27783	Q502K3
isogroup27786	Q6ASW7
isogroup2779	Q5RBF1
isogroup27792	Q9C6P3
isogroup27793	O88808
isogroup27794	Q8HXZ8
isogroup27795	Q5TYQ8
isogroup27796	Q9S0Y6
isogroup27802	Q8T3L6
isogroup27804	Q9XTR8
isogroup27805	Q98E66
isogroup27807	Q99ML0
isogroup27809	O13982
isogroup27813	Q8LPN7
isogroup27814	Q9P4S5
isogroup27820	O31444
isogroup27823	Q6PI78
isogroup27824	Q70FG7
isogroup27825	Q9JI78
isogroup27828	O94580
isogroup27839	Q17QZ3
isogroup27842	Q5GI04
isogroup27843	B1VEI4
isogroup27849	D3ZH22
isogroup27852	P94593
isogroup27854	Q55DA6
isogroup27862	Q8MTI2
isogroup27867	Q9XGZ9
isogroup27869	Q7ZYV9
isogroup27875	Q6UN27
isogroup27887	P70168
isogroup27888	Q10RZ1
isogroup27889	Q80ZX8
isogroup27892	Q6Z1C0
isogroup27895	Q84K11
isogroup27896	Q9P377
isogroup27901	Q63009
isogroup27906	P25323
isogroup27912	Q2T9W2
isogroup27913	O82233
isogroup27920	P58780
isogroup27922	O04491
isogroup27928	Q09829
isogroup27929	Q9FH28
isogroup27930	P16006
isogroup27931	Q9SRX2
isogroup27932	Q5RC74
isogroup27938	Q94AN2
isogroup27944	Q968X7
isogroup27949	O49809
isogroup27952	Q54WR9
isogroup27957	Q0HA38
isogroup27959	F4ILR7
isogroup27961	Q54LP7
isogroup27966	Q4LDE5
isogroup27967	O95149
isogroup27968	Q8GWQ6
isogroup27971	Q8VZF1
isogroup27973	A3DEX6
isogroup27976	P0CN42
isogroup2798	Q39054
isogroup27984	Q9Z0Y8
isogroup27989	Q6IR34
isogroup27991	Q84LK0
isogroup27994	Q9LYN7
isogroup28001	Q5PQ44
isogroup28009	Q9Z1J2
isogroup28014	Q9M041
isogroup28016	Q9SB58
isogroup28017	Q8MTI2
isogroup28021	Q99383
isogroup28025	P46942
isogroup28026	P46032
isogroup28032	Q9VLN1
isogroup28033	P87139
isogroup28035	Q02006
isogroup28036	O50310
isogroup28040	Q8G9F9
isogroup28046	O82796
isogroup28048	P47082
isogroup28050	Q9FNP1
isogroup28052	Q06852
isogroup28059	A0QP18
isogroup28066	B6SHG7
isogroup28075	Q2QX45
isogroup28078	A4IF87
isogroup28082	P12883
isogroup28084	Q04759
isogroup28085	Q8GZ43
isogroup28093	Q8G758
isogroup28096	P14644
isogroup28100	G4SLH0
isogroup28103	F4JY37
isogroup28108	P38130
isogroup28110	Q9VDL1
isogroup28111	Q9EQ60
isogroup28115	Q9JKA8
isogroup28116	Q32LS6
isogroup28123	Q937H2
isogroup28125	O67623
isogroup28128	Q6AYU4
isogroup28130	Q84XU2
isogroup28131	Q0V8H6
isogroup28135	Q55909
isogroup28137	Q28735
isogroup28141	Q08473
isogroup28150	Q8S1X9
isogroup28153	Q02280
isogroup28154	Q15751
isogroup28155	Q64UA4
isogroup28166	O88281
isogroup28167	Q8YTC2
isogroup28169	B0JWW6
isogroup28174	Q5RAG2
isogroup28179	Q91WQ5
isogroup28181	Q54QG0
isogroup28182	P96787
isogroup28185	Q01484
isogroup28187	O22609
isogroup28196	Q5F478
isogroup28197	Q6DJI9
isogroup28202	P41413
isogroup28203	P22696
isogroup28205	Q9Y4L5
isogroup28210	P57078
isogroup28211	Q9I2Y2
isogroup28215	Q7V9U7
isogroup28221	Q8VDD5
isogroup28229	Q9AWA5
isogroup28233	B6ZJZ9
isogroup28235	Q54LX0
isogroup28237	U3JAG9
isogroup28238	Q5RA07
isogroup28239	B2IUA9
isogroup2824	Q9SKT7
isogroup28241	Q5DU05
isogroup28248	Q8VYK7
isogroup2825	Q8DG98
isogroup28250	P54583
isogroup28251	F1MA98
isogroup28254	Q40784
isogroup28256	Q9FZE1
isogroup28259	Q3SX45
isogroup28261	Q9SAR5
isogroup28262	Q4R4T9
isogroup28264	Q9LT31
isogroup28269	D4AVD4
isogroup28272	Q6K1J1
isogroup28276	Q4R5T4
isogroup28278	Q9VR91
isogroup28281	Q9XZH7
isogroup28283	Q6IVV8
isogroup28287	Q9C8M1
isogroup28290	Q28085
isogroup28299	O14084
isogroup28302	Q9C9Z9
isogroup28304	Q99LH1
isogroup28305	Q8IFW4
isogroup28307	A2AL36
isogroup28309	Q6UEF0
isogroup28318	C1DHE6
isogroup2832	Q8LBL1
isogroup28321	Q12094
isogroup28327	P22303
isogroup28333	Q3UMY5
isogroup28334	P15381
isogroup28335	Q9JKA7
isogroup28336	Q8C3X8
isogroup28339	Q9QR71
isogroup28345	C0HLA0
isogroup28348	Q9FK51
isogroup28349	O04425
isogroup28350	P74334
isogroup28356	Q6IRP4
isogroup28358	Q64FW2
isogroup2836	Q7ZU92
isogroup28361	Q6F234
isogroup28375	C0H4K2
isogroup28378	Q9SIC9
isogroup28379	Q9ZW86
isogroup28380	Q5UNW1
isogroup28385	Q9QXY2
isogroup28387	A5LGM7
isogroup28390	W7LUF3
isogroup28396	Q8NI08
isogroup28399	P25408
isogroup2840	Q497B0
isogroup28402	Q8K4F6
isogroup28407	Q6TDP4
isogroup28408	O13834
isogroup28411	Q00972
isogroup28414	Q7TXL7
isogroup2842	A3CUG3
isogroup28423	O66114
isogroup28426	Q9XGX8
isogroup28428	Q9NRL3
isogroup28432	Q5DTY9
isogroup28433	Q6XIM8
isogroup28434	Q9LUZ9
isogroup28435	P38994
isogroup28437	P29288
isogroup2844	Q4FSH2
isogroup28443	Q9ZTZ7
isogroup28452	Q7TXL7
isogroup28454	Q32PY6
isogroup28459	Q95L11
isogroup28461	Q810B6
isogroup28463	Q96DF8
isogroup28478	O74343
isogroup28480	Q84M24
isogroup28481	Q4L3J7
isogroup28485	Q54Q05
isogroup28493	Q8WXD9
isogroup28497	Q6AVN2
isogroup28503	Q8FTK0
isogroup28505	Q8K4I3
isogroup28510	Q5TC63
isogroup28513	Q6AYU3
isogroup28514	Q9SAR5
isogroup28516	Q8H4S6
isogroup28517	Q91VW5
isogroup28520	Q8H136
isogroup28521	P62343
isogroup28523	P55792
isogroup28524	Q54XQ8
isogroup28530	P0C031
isogroup28533	O49923
isogroup28540	Q9ULV3
isogroup28543	Q3T062
isogroup28545	Q9SIC9
isogroup28548	Q9JIS7
isogroup2855	Q5R4H3
isogroup28553	Q9D2V5
isogroup28556	Q4UG71
isogroup28558	P25694
isogroup28560	Q28ES4
isogroup28562	Q9U5L1
isogroup28563	O34499
isogroup28564	P11348
isogroup28565	Q9LR78
isogroup2857	Q91VU7
isogroup28572	Q2S0I2
isogroup28573	Q69QZ0
isogroup28577	Q8BZJ7
isogroup28586	P13627
isogroup28588	Q1HFZ0
isogroup28597	Q40301
isogroup28601	Q8LB01
isogroup28603	P63142
isogroup28606	O82797
isogroup28609	Q22875
isogroup28613	Q869Z0
isogroup28615	P12864
isogroup28616	Q8H2D5
isogroup28617	Q9LV93
isogroup28621	Q84J46
isogroup28622	H2QL32
isogroup28623	Q54P04
isogroup28626	Q6M9M7
isogroup28628	Q42688
isogroup28636	Q9ZV15
isogroup28640	Q51152
isogroup28643	Q9ULJ7
isogroup28646	C1DKY7
isogroup28649	Q9P3U4
isogroup28654	Q5PQA5
isogroup28672	Q9S7Q2
isogroup28673	Q06099
isogroup28674	H2LRU7
isogroup28678	A4YI89
isogroup28679	P79101
isogroup28680	Q8IZ69
isogroup28688	B9F676
isogroup28692	A2AVA0
isogroup28696	P27134
isogroup2870	Q6PC14
isogroup28700	Q9LYN7
isogroup28701	Q6F3A6
isogroup28704	Q5BLK4
isogroup28712	O15865
isogroup28718	P19485
isogroup28720	P22002
isogroup28725	B0R0T1
isogroup28728	O06485
isogroup28729	P25071
isogroup28731	Q91VW5
isogroup28733	G5E8K5
isogroup28747	A5D6U8
isogroup28748	Q3ZC89
isogroup28751	Q2PZI1
isogroup28752	P27398
isogroup28759	P02597
isogroup28760	O00625
isogroup28762	F4J9Q6
isogroup28767	P50430
isogroup28769	Q10KY3
isogroup28770	O18740
isogroup28779	P07347
isogroup28786	P48236
isogroup28790	Q9Z0Z5
isogroup28795	O13911
isogroup28799	Q803I2
isogroup28800	Q9ER56
isogroup28805	Q54IP0
isogroup28810	Q13356
isogroup28814	P05714
isogroup28818	Q8VIG3
isogroup28820	P9WPJ9
isogroup28822	A7MBJ2
isogroup28824	P19485
isogroup28829	P14802
isogroup2883	P29356
isogroup28830	O45218
isogroup28831	Q10917
isogroup28833	Q5F389
isogroup28836	P36774
isogroup28838	Q6NRL6
isogroup28839	Q9Y283
isogroup28844	Q9HEW1
isogroup28847	O34499
isogroup28849	Q75LD5
isogroup28852	Q5I0H5
isogroup28854	P31320
isogroup28859	Q10074
isogroup28861	Q8GV43
isogroup28863	P07746
isogroup28864	Q9FMH5
isogroup28866	Q57568
isogroup28867	Q65KK1
isogroup28870	Q7TS68
isogroup28871	E9QAM5
isogroup28875	P41380
isogroup28876	A0A0H2VDN9
isogroup28881	Q89DG5
isogroup28882	Q6URW6
isogroup28883	Q5M877
isogroup28886	P55667
isogroup28888	A8MG75
isogroup28890	P14070
isogroup28893	O55103
isogroup28899	P73627
isogroup28903	F4I0P8
isogroup28905	Q6H7U2
isogroup28909	Q84UQ1
isogroup2892	Q99PM1
isogroup28929	P42566
isogroup2893	P39368
isogroup28931	Q9UHL4
isogroup28933	G5EFJ9
isogroup28937	P34101
isogroup28938	Q80V70
isogroup28939	Q99NH0
isogroup28940	Q5ZLS3
isogroup28944	O22609
isogroup28945	Q9M1K2
isogroup28949	Q9JJZ4
isogroup28955	B9A1H3
isogroup28960	Q9MA15
isogroup28961	Q1SF86
isogroup28963	Q8VYP9
isogroup28969	Q6AVN2
isogroup28972	A8IUG5
isogroup28978	Q9KGF4
isogroup28979	Q626B1
isogroup28984	Q9R1T9
isogroup28986	Q8T9S7
isogroup28987	Q9MUS5
isogroup28996	Q6DFA8
isogroup28998	Q6STH5
isogroup28999	Q949Y5
isogroup29002	Q9ULA0
isogroup29004	Q9NVU0
isogroup29006	Q8K1E6
isogroup29010	Q9SKG5
isogroup29011	Q8L844
isogroup29018	Q9TXQ1
isogroup29019	Q9SIC9
isogroup29021	Q6AVN2
isogroup29025	O17310
isogroup29026	Q6DG99
isogroup29029	P11915
isogroup29034	P34099
isogroup29037	P30427
isogroup29038	Q8MTI2
isogroup2904	P34815
isogroup29046	Q8GW20
isogroup29048	P41891
isogroup29050	Q9HQC9
isogroup29053	Q67YE6
isogroup29057	P26882
isogroup29060	Q9PFB3
isogroup29061	Q8ISN9
isogroup29062	Q9LRN8
isogroup29066	Q2U316
isogroup29070	Q62968
isogroup29073	Q63486
isogroup29075	Q6AZZ1
isogroup29078	Q26626
isogroup2908	B1JQD9
isogroup29081	P27124
isogroup29082	Q949X0
isogroup29083	Q8C8R3
isogroup29091	Q8VII6
isogroup29093	Q9NZM6
isogroup29099	Q3KNI6
isogroup29100	Q0IQF7
isogroup29101	Q54S03
isogroup29108	P0C8M8
isogroup29110	Q8RVL1
isogroup29111	Q3E9A0
isogroup29120	Q8WYR4
isogroup29122	A1L4X0
isogroup29123	Q39128
isogroup29138	Q8R151
isogroup29142	Q39709
isogroup29146	Q9LIC2
isogroup29147	Q9BMK9
isogroup29155	Q6NWZ9
isogroup29157	Q6TUG0
isogroup29160	G5EFJ9
isogroup29161	Q8BQQ1
isogroup29166	Q5ZLX5
